All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                              final.contigs
# misassemblies                       7            
  # contig misassemblies              7            
    # c. relocations                  7            
    # c. translocations               0            
    # c. inversions                   0            
    # c. interspecies translocations  0            
  # scaffold misassemblies            0            
    # s. relocations                  0            
    # s. translocations               0            
    # s. inversions                   0            
    # s. interspecies translocations  0            
# misassembled contigs                7            
Misassembled contigs length           7945         
# possibly misassembled contigs       46           
    # possible misassemblies          55           
# local misassemblies                 1            
# scaffold gap ext. mis.              0            
# scaffold gap loc. mis.              0            
# unaligned mis. contigs              2            
# mismatches                          14346        
# indels                              96           
    # indels (<= 5 bp)                88           
    # indels (> 5 bp)                 8            
Indels length                         334          
