Assembly	final.contigs
# misassemblies	6
  # contig misassemblies	6
    # c. relocations	6
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	6
Misassembled contigs length	7320
# possibly misassembled contigs	46
    # possible misassemblies	55
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	2
# mismatches	14346
# indels	70
    # indels (<= 5 bp)	62
    # indels (> 5 bp)	8
Indels length	266
