Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	15
Aurantimonas_manganoxydans_SI85_9A1	6
Conexibacter_woesei_Iso977N	18
Desulfitibacter_alkalitolerans_DSM_16504	7
Desulfuromonas_acetoxidans_DSM_684	6
Desulfuromonas_thiophila	8
Fluviicola_taffensis_DSM_16823	19
Gracilibacteria_bacterium_JGI_0000069_P22	1
Ilumatobacter_coccineus_YM16_304	55
Modicisalibacter_tunisiensis	16
Neisseria_sp._CSL_7565	3
Nitrospina_gracilis	26
Nitrospina_sp._SCGC_AAA288_L16	22
Oceanicola_granulosus_HTCC2516	17
Owenweeksia_hongkongensis_DSM_17368	21
Paracoccus_aminophilus	10
Porticoccus_hydrocarbonoclasticus_MCTG13d	13
Pseudoruegeria_aquimaris	19
Rhodopirellula_sp._SM50	5
Roseobacter_sp._SK209_2_6	19
Shewanella_amazonensis_SB2B	6
Simiduia_sp._J_MY2	12
Sinobacterium_caligoides	13
Sphingobium_fuliginis	10
Streptomyces_cyaneogriseus_subsp._noncyanogenus	11
Sulfitobacter_sp._NAS_14.1	15
Synechococcus_sp._KORDI_49	12
Syntrophus_aciditrophicus	9
Tenacibaculum_skagerrakense	17
Thioalkalivibrio_sp._ALJ17	20
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	20
Thiohalobacter_thiocyanaticus	28
Ulvibacter_litoralis	29
Xanthomonas_citri_subsp._malvacearum	4
alpha_proteobacterium_BAL199	22
endosymbiont_of_Ridgeia_piscesae	35
gamma_proteobacterium_SCGC_AB_629_P17	15
marine_gamma_proteobacterium_HTCC2080	37
marine_metagenome	3
mine_drainage_metagenome	-
not_aligned	87720
