Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	41132
Aurantimonas_manganoxydans_SI85_9A1	0
Conexibacter_woesei_Iso977N	36014
Desulfitibacter_alkalitolerans_DSM_16504	0
Desulfuromonas_acetoxidans_DSM_684	39648
Desulfuromonas_thiophila	39648
Fluviicola_taffensis_DSM_16823	0
Gracilibacteria_bacterium_JGI_0000069_P22	0
Ilumatobacter_coccineus_YM16_304	0
Modicisalibacter_tunisiensis	216454
Neisseria_sp._CSL_7565	0
Nitrospina_gracilis	53127
Nitrospina_sp._SCGC_AAA288_L16	13792
Oceanicola_granulosus_HTCC2516	23416
Owenweeksia_hongkongensis_DSM_17368	0
Paracoccus_aminophilus	0
Porticoccus_hydrocarbonoclasticus_MCTG13d	0
Pseudoruegeria_aquimaris	109736
Rhodopirellula_sp._SM50	0
Roseobacter_sp._SK209_2_6	0
Shewanella_amazonensis_SB2B	0
Simiduia_sp._J_MY2	32163
Sinobacterium_caligoides	0
Sphingobium_fuliginis	32249
Streptomyces_cyaneogriseus_subsp._noncyanogenus	19166
Sulfitobacter_sp._NAS_14.1	0
Synechococcus_sp._KORDI_49	0
Syntrophus_aciditrophicus	0
Tenacibaculum_skagerrakense	0
Thioalkalivibrio_sp._ALJ17	324228
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	324228
Thiohalobacter_thiocyanaticus	481269
Ulvibacter_litoralis	12656
Xanthomonas_citri_subsp._malvacearum	0
alpha_proteobacterium_BAL199	32499
endosymbiont_of_Ridgeia_piscesae	693100
gamma_proteobacterium_SCGC_AB_629_P17	0
marine_gamma_proteobacterium_HTCC2080	0
marine_metagenome	0
mine_drainage_metagenome	-
