Assembly	final.contigs
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	4573
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1877
Total length	12943
Reference length	4010516
GC (%)	51.45
Reference GC (%)	60.05
N50	842
N75	703
L50	6
L75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# unaligned contigs	1 + 5 part
Unaligned length	5975
Genome fraction (%)	0.077
Duplication ratio	2.262
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3279.22
# indels per 100 kbp	64.94
Largest alignment	703
Total aligned length	3296
NGA50	-
