Assemblies                                       final.contigs
Alcanivorax_pacificus_W11_5                      0.030        
Aurantimonas_manganoxydans_SI85_9A1              0.011        
Conexibacter_woesei_Iso977N                      0.011        
Desulfitibacter_alkalitolerans_DSM_16504         0.014        
Desulfuromonas_acetoxidans_DSM_684               0.009        
Desulfuromonas_thiophila                         0.015        
Fluviicola_taffensis_DSM_16823                   0.037        
Gracilibacteria_bacterium_JGI_0000069_P22        -            
Ilumatobacter_coccineus_YM16_304                 0.138        
Modicisalibacter_tunisiensis                     0.040        
Neisseria_sp._CSL_7565                           0.011        
Nitrospina_gracilis                              0.078        
Nitrospina_sp._SCGC_AAA288_L16                   0.098        
Oceanicola_granulosus_HTCC2516                   0.065        
Owenweeksia_hongkongensis_DSM_17368              0.047        
Paracoccus_aminophilus                           0.033        
Porticoccus_hydrocarbonoclasticus_MCTG13d        0.056        
Pseudoruegeria_aquimaris                         0.066        
Rhodopirellula_sp._SM50                          0.004        
Roseobacter_sp._SK209_2_6                        0.085        
Shewanella_amazonensis_SB2B                      0.010        
Simiduia_sp._J_MY2                               0.025        
Sinobacterium_caligoides                         0.023        
Sphingobium_fuliginis                            0.012        
Streptomyces_cyaneogriseus_subsp._noncyanogenus  0.014        
Sulfitobacter_sp._NAS_14.1                       0.077        
Synechococcus_sp._KORDI_49                       0.213        
Syntrophus_aciditrophicus                        0.012        
Tenacibaculum_skagerrakense                      0.056        
Thioalkalivibrio_sp._ALJ17                       0.058        
Thioalkalivibrio_sulfidiphilus_HL_EbGr7          0.058        
Thiohalobacter_thiocyanaticus                    0.069        
Ulvibacter_litoralis                             0.066        
Xanthomonas_citri_subsp._malvacearum             0.008        
alpha_proteobacterium_BAL199                     0.021        
endosymbiont_of_Ridgeia_piscesae                 0.109        
gamma_proteobacterium_SCGC_AB_629_P17            0.211        
marine_gamma_proteobacterium_HTCC2080            0.183        
marine_metagenome                                0.003        
mine_drainage_metagenome                         -            
