Assembly	final.contigs
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	5524
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	2327
Total length	7257
Reference length	9795212
GC (%)	58.18
Reference GC (%)	58.96
N50	2032
N75	1165
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 5 part
Unaligned length	6799
Genome fraction (%)	0.004
Duplication ratio	1.225
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4278.07
# indels per 100 kbp	0.00
Largest alignment	151
Total aligned length	458
NGA50	-
