Assembly	final.contigs
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1299
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1299
Total length	10106
Reference length	1424092
GC (%)	48.42
Reference GC (%)	38.87
N50	604
N75	570
L50	7
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	4 + 1 part
Unaligned length	3858
Genome fraction (%)	0.211
Duplication ratio	2.084
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2568.38
# indels per 100 kbp	0.00
Largest alignment	727
Total aligned length	3471
NGA50	-
