All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# contigs (>= 1000 bp)       13           
# contigs (>= 5000 bp)       1            
# contigs (>= 10000 bp)      1            
# contigs (>= 25000 bp)      0            
# contigs (>= 50000 bp)      0            
Total length (>= 1000 bp)    36872        
Total length (>= 5000 bp)    12656        
Total length (>= 10000 bp)   12656        
Total length (>= 25000 bp)   0            
Total length (>= 50000 bp)   0            
# contigs                    29           
Largest contig               12656        
Total length                 47952        
Reference length             3821926      
GC (%)                       42.25        
Reference GC (%)             35.84        
N50                          2056         
N75                          1187         
L50                          5            
L75                          13           
# misassemblies              0            
# misassembled contigs       0            
Misassembled contigs length  0            
# local misassemblies        0            
# scaffold gap ext. mis.     0            
# scaffold gap loc. mis.     0            
# unaligned mis. contigs     4            
# unaligned contigs          3 + 19 part  
Unaligned length             40598        
Genome fraction (%)          0.066        
Duplication ratio            2.916        
# N's per 100 kbp            0.00         
# mismatches per 100 kbp     6225.22      
# indels per 100 kbp         79.30        
Largest alignment            411          
Total aligned length         4516         
NGA50                        -            
