Assemblies                                       final.contigs
Alcanivorax_pacificus_W11_5                      2.355        
Aurantimonas_manganoxydans_SI85_9A1              1.000        
Conexibacter_woesei_Iso977N                      3.324        
Desulfitibacter_alkalitolerans_DSM_16504         1.701        
Desulfuromonas_acetoxidans_DSM_684               2.799        
Desulfuromonas_thiophila                         3.382        
Fluviicola_taffensis_DSM_16823                   3.343        
Gracilibacteria_bacterium_JGI_0000069_P22        -            
Ilumatobacter_coccineus_YM16_304                 2.555        
Modicisalibacter_tunisiensis                     2.343        
Neisseria_sp._CSL_7565                           1.000        
Nitrospina_gracilis                              3.319        
Nitrospina_sp._SCGC_AAA288_L16                   3.088        
Oceanicola_granulosus_HTCC2516                   2.390        
Owenweeksia_hongkongensis_DSM_17368              2.277        
Paracoccus_aminophilus                           2.314        
Porticoccus_hydrocarbonoclasticus_MCTG13d        2.690        
Pseudoruegeria_aquimaris                         1.849        
Rhodopirellula_sp._SM50                          1.225        
Roseobacter_sp._SK209_2_6                        2.247        
Shewanella_amazonensis_SB2B                      2.179        
Simiduia_sp._J_MY2                               3.171        
Sinobacterium_caligoides                         4.266        
Sphingobium_fuliginis                            4.423        
Streptomyces_cyaneogriseus_subsp._noncyanogenus  2.320        
Sulfitobacter_sp._NAS_14.1                       2.262        
Synechococcus_sp._KORDI_49                       1.318        
Syntrophus_aciditrophicus                        5.086        
Tenacibaculum_skagerrakense                      1.722        
Thioalkalivibrio_sp._ALJ17                       3.275        
Thioalkalivibrio_sulfidiphilus_HL_EbGr7          3.275        
Thiohalobacter_thiocyanaticus                    3.257        
Ulvibacter_litoralis                             2.916        
Xanthomonas_citri_subsp._malvacearum             2.330        
alpha_proteobacterium_BAL199                     2.971        
endosymbiont_of_Ridgeia_piscesae                 2.393        
gamma_proteobacterium_SCGC_AB_629_P17            2.084        
marine_gamma_proteobacterium_HTCC2080            2.061        
marine_metagenome                                2.882        
mine_drainage_metagenome                         -            
