Assembly	final.contigs
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	37222
Total length (>= 5000 bp)	19114
Total length (>= 10000 bp)	13792
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	22
Largest contig	13792
Total length	46104
Reference length	2077614
GC (%)	47.26
Reference GC (%)	39.47
N50	4587
N75	1238
L50	3
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	3
# unaligned contigs	3 + 11 part
Unaligned length	39804
Genome fraction (%)	0.098
Duplication ratio	3.088
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4411.76
# indels per 100 kbp	539.22
Largest alignment	558
Total aligned length	3272
NGA50	-
