All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# contigs (>= 1000 bp)       1            
# contigs (>= 5000 bp)       0            
# contigs (>= 10000 bp)      0            
# contigs (>= 25000 bp)      0            
# contigs (>= 50000 bp)      0            
Total length (>= 1000 bp)    3858         
Total length (>= 5000 bp)    0            
Total length (>= 10000 bp)   0            
Total length (>= 25000 bp)   0            
Total length (>= 50000 bp)   0            
# contigs                    3            
Largest contig               3858         
Total length                 5412         
Reference length             2722277      
GC (%)                       51.26        
Reference GC (%)             58.42        
N50                          3858         
N75                          854          
L50                          1            
L75                          2            
# misassemblies              0            
# misassembled contigs       0            
Misassembled contigs length  0            
# local misassemblies        0            
# scaffold gap ext. mis.     0            
# scaffold gap loc. mis.     0            
# unaligned mis. contigs     0            
# unaligned contigs          0 + 3 part   
Unaligned length             5193         
Genome fraction (%)          0.003        
Duplication ratio            2.882        
# N's per 100 kbp            0.00         
# mismatches per 100 kbp     3947.37      
# indels per 100 kbp         0.00         
Largest alignment            76           
Total aligned length         219          
NGA50                        -            
