Assembly	final.contigs
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	5025
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	2187
Total length	7326
Reference length	4306142
GC (%)	50.03
Reference GC (%)	53.59
N50	1539
N75	901
L50	2
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 4 part
Unaligned length	6365
Genome fraction (%)	0.010
Duplication ratio	2.179
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2494.33
# indels per 100 kbp	0.00
Largest alignment	132
Total aligned length	441
NGA50	-
