Assemblies                                       final.contigs
Alcanivorax_pacificus_W11_5                      157.36       
Aurantimonas_manganoxydans_SI85_9A1              0.00         
Conexibacter_woesei_Iso977N                      0.00         
Desulfitibacter_alkalitolerans_DSM_16504         0.00         
Desulfuromonas_acetoxidans_DSM_684               0.00         
Desulfuromonas_thiophila                         0.00         
Fluviicola_taffensis_DSM_16823                   59.00        
Gracilibacteria_bacterium_JGI_0000069_P22        -            
Ilumatobacter_coccineus_YM16_304                 149.57       
Modicisalibacter_tunisiensis                     0.00         
Neisseria_sp._CSL_7565                           0.00         
Nitrospina_gracilis                              0.00         
Nitrospina_sp._SCGC_AAA288_L16                   539.22       
Oceanicola_granulosus_HTCC2516                   76.19        
Owenweeksia_hongkongensis_DSM_17368              52.91        
Paracoccus_aminophilus                           0.00         
Porticoccus_hydrocarbonoclasticus_MCTG13d        0.00         
Pseudoruegeria_aquimaris                         0.00         
Rhodopirellula_sp._SM50                          0.00         
Roseobacter_sp._SK209_2_6                        154.68       
Shewanella_amazonensis_SB2B                      0.00         
Simiduia_sp._J_MY2                               106.61       
Sinobacterium_caligoides                         193.99       
Sphingobium_fuliginis                            0.00         
Streptomyces_cyaneogriseus_subsp._noncyanogenus  358.10       
Sulfitobacter_sp._NAS_14.1                       64.94        
Synechococcus_sp._KORDI_49                       126.97       
Syntrophus_aciditrophicus                        259.74       
Tenacibaculum_skagerrakense                      48.22        
Thioalkalivibrio_sp._ALJ17                       49.70        
Thioalkalivibrio_sulfidiphilus_HL_EbGr7          49.70        
Thiohalobacter_thiocyanaticus                    0.00         
Ulvibacter_litoralis                             79.30        
Xanthomonas_citri_subsp._malvacearum             0.00         
alpha_proteobacterium_BAL199                     0.00         
endosymbiont_of_Ridgeia_piscesae                 239.30       
gamma_proteobacterium_SCGC_AB_629_P17            0.00         
marine_gamma_proteobacterium_HTCC2080            137.24       
marine_metagenome                                0.00         
mine_drainage_metagenome                         -            
