Assembly	final.contigs
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	13836
Total length (>= 5000 bp)	8011
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	8011
Total length	20149
Reference length	4398449
GC (%)	52.73
Reference GC (%)	49.98
N50	3120
N75	873
L50	2
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	2
# unaligned contigs	3 + 4 part
Unaligned length	15751
Genome fraction (%)	0.023
Duplication ratio	4.266
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4752.67
# indels per 100 kbp	193.99
Largest alignment	245
Total aligned length	1530
NGA50	-
