Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	176
Aurantimonas_manganoxydans_SI85_9A1	156
Conexibacter_woesei_Iso977N	105
Desulfitibacter_alkalitolerans_DSM_16504	128
Desulfuromonas_acetoxidans_DSM_684	113
Desulfuromonas_thiophila	113
Fluviicola_taffensis_DSM_16823	495
Gracilibacteria_bacterium_JGI_0000069_P22	-
Ilumatobacter_coccineus_YM16_304	1497
Modicisalibacter_tunisiensis	245
Neisseria_sp._CSL_7565	96
Nitrospina_gracilis	506
Nitrospina_sp._SCGC_AAA288_L16	558
Oceanicola_granulosus_HTCC2516	456
Owenweeksia_hongkongensis_DSM_17368	272
Paracoccus_aminophilus	456
Porticoccus_hydrocarbonoclasticus_MCTG13d	304
Pseudoruegeria_aquimaris	513
Rhodopirellula_sp._SM50	151
Roseobacter_sp._SK209_2_6	488
Shewanella_amazonensis_SB2B	132
Simiduia_sp._J_MY2	247
Sinobacterium_caligoides	245
Sphingobium_fuliginis	102
Streptomyces_cyaneogriseus_subsp._noncyanogenus	235
Sulfitobacter_sp._NAS_14.1	703
Synechococcus_sp._KORDI_49	1708
Syntrophus_aciditrophicus	126
Tenacibaculum_skagerrakense	619
Thioalkalivibrio_sp._ALJ17	561
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	561
Thiohalobacter_thiocyanaticus	284
Ulvibacter_litoralis	411
Xanthomonas_citri_subsp._malvacearum	115
alpha_proteobacterium_BAL199	254
endosymbiont_of_Ridgeia_piscesae	608
gamma_proteobacterium_SCGC_AB_629_P17	727
marine_gamma_proteobacterium_HTCC2080	1743
marine_metagenome	76
mine_drainage_metagenome	-
