All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# contigs (>= 1000 bp)       4            
# contigs (>= 5000 bp)       1            
# contigs (>= 10000 bp)      1            
# contigs (>= 25000 bp)      1            
# contigs (>= 50000 bp)      0            
Total length (>= 1000 bp)    43647        
Total length (>= 5000 bp)    39648        
Total length (>= 10000 bp)   39648        
Total length (>= 25000 bp)   39648        
Total length (>= 50000 bp)   0            
# contigs                    6            
Largest contig               39648        
Total length                 44975        
Reference length             3828328      
GC (%)                       48.38        
Reference GC (%)             51.83        
N50                          39648        
N75                          39648        
L50                          1            
L75                          1            
# misassemblies              0            
# misassembled contigs       0            
Misassembled contigs length  0            
# local misassemblies        0            
# scaffold gap ext. mis.     0            
# scaffold gap loc. mis.     0            
# unaligned mis. contigs     0            
# unaligned contigs          2 + 3 part   
Unaligned length             44015        
Genome fraction (%)          0.009        
Duplication ratio            2.799        
# N's per 100 kbp            0.00         
# mismatches per 100 kbp     2332.36      
# indels per 100 kbp         0.00         
Largest alignment            113          
Total aligned length         343          
NGA50                        -            
