Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	26811
Aurantimonas_manganoxydans_SI85_9A1	1494
Conexibacter_woesei_Iso977N	36014
Desulfitibacter_alkalitolerans_DSM_16504	2248
Desulfuromonas_acetoxidans_DSM_684	39648
Desulfuromonas_thiophila	39648
Fluviicola_taffensis_DSM_16823	5869
Gracilibacteria_bacterium_JGI_0000069_P22	724
Ilumatobacter_coccineus_YM16_304	8698
Modicisalibacter_tunisiensis	200449
Neisseria_sp._CSL_7565	1497
Nitrospina_gracilis	39648
Nitrospina_sp._SCGC_AAA288_L16	13792
Oceanicola_granulosus_HTCC2516	23416
Owenweeksia_hongkongensis_DSM_17368	5625
Paracoccus_aminophilus	1678
Porticoccus_hydrocarbonoclasticus_MCTG13d	1313
Pseudoruegeria_aquimaris	56925
Rhodopirellula_sp._SM50	2327
Roseobacter_sp._SK209_2_6	1678
Shewanella_amazonensis_SB2B	2187
Simiduia_sp._J_MY2	17842
Sinobacterium_caligoides	8011
Sphingobium_fuliginis	32249
Streptomyces_cyaneogriseus_subsp._noncyanogenus	19166
Sulfitobacter_sp._NAS_14.1	1877
Synechococcus_sp._KORDI_49	3070
Syntrophus_aciditrophicus	4597
Tenacibaculum_skagerrakense	5625
Thioalkalivibrio_sp._ALJ17	266140
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	266140
Thiohalobacter_thiocyanaticus	172953
Ulvibacter_litoralis	12656
Xanthomonas_citri_subsp._malvacearum	2426
alpha_proteobacterium_BAL199	18858
endosymbiont_of_Ridgeia_piscesae	255300
gamma_proteobacterium_SCGC_AB_629_P17	1299
marine_gamma_proteobacterium_HTCC2080	8796
marine_metagenome	3858
mine_drainage_metagenome	-
not_aligned	184978
