Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	2989.77
Aurantimonas_manganoxydans_SI85_9A1	3958.33
Conexibacter_woesei_Iso977N	6351.79
Desulfitibacter_alkalitolerans_DSM_16504	3553.30
Desulfuromonas_acetoxidans_DSM_684	2332.36
Desulfuromonas_thiophila	2850.36
Fluviicola_taffensis_DSM_16823	4483.78
Gracilibacteria_bacterium_JGI_0000069_P22	-
Ilumatobacter_coccineus_YM16_304	4771.16
Modicisalibacter_tunisiensis	3455.57
Neisseria_sp._CSL_7565	2255.64
Nitrospina_gracilis	5239.09
Nitrospina_sp._SCGC_AAA288_L16	4411.76
Oceanicola_granulosus_HTCC2516	2780.95
Owenweeksia_hongkongensis_DSM_17368	4920.63
Paracoccus_aminophilus	3194.10
Porticoccus_hydrocarbonoclasticus_MCTG13d	3749.10
Pseudoruegeria_aquimaris	3388.43
Rhodopirellula_sp._SM50	4278.07
Roseobacter_sp._SK209_2_6	3480.28
Shewanella_amazonensis_SB2B	2494.33
Simiduia_sp._J_MY2	4904.05
Sinobacterium_caligoides	4752.67
Sphingobium_fuliginis	3242.32
Streptomyces_cyaneogriseus_subsp._noncyanogenus	4028.65
Sulfitobacter_sp._NAS_14.1	3279.22
Synechococcus_sp._KORDI_49	2285.51
Syntrophus_aciditrophicus	2857.14
Tenacibaculum_skagerrakense	3905.50
Thioalkalivibrio_sp._ALJ17	3677.93
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	3677.93
Thiohalobacter_thiocyanaticus	5218.93
Ulvibacter_litoralis	6225.22
Xanthomonas_citri_subsp._malvacearum	2247.19
alpha_proteobacterium_BAL199	5279.27
endosymbiont_of_Ridgeia_piscesae	5051.85
gamma_proteobacterium_SCGC_AB_629_P17	2568.38
marine_gamma_proteobacterium_HTCC2080	3659.65
marine_metagenome	3947.37
mine_drainage_metagenome	-
