All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# contigs (>= 1000 bp)       4            
# contigs (>= 5000 bp)       0            
# contigs (>= 10000 bp)      0            
# contigs (>= 25000 bp)      0            
# contigs (>= 50000 bp)      0            
Total length (>= 1000 bp)    10893        
Total length (>= 5000 bp)    0            
Total length (>= 10000 bp)   0            
Total length (>= 25000 bp)   0            
Total length (>= 50000 bp)   0            
# contigs                    9            
Largest contig               4597         
Total length                 14359        
Reference length             3179300      
GC (%)                       45.32        
Reference GC (%)             51.46        
N50                          2862         
N75                          1299         
L50                          2            
L75                          4            
# misassemblies              0            
# misassembled contigs       0            
Misassembled contigs length  0            
# local misassemblies        0            
# scaffold gap ext. mis.     0            
# scaffold gap loc. mis.     0            
# unaligned mis. contigs     1            
# unaligned contigs          3 + 4 part   
Unaligned length             12401        
Genome fraction (%)          0.012        
Duplication ratio            5.086        
# N's per 100 kbp            0.00         
# mismatches per 100 kbp     2857.14      
# indels per 100 kbp         259.74       
Largest alignment            126          
Total aligned length         645          
NGA50                        -            
