All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# contigs (>= 1000 bp)       5            
# contigs (>= 5000 bp)       1            
# contigs (>= 10000 bp)      1            
# contigs (>= 25000 bp)      1            
# contigs (>= 50000 bp)      0            
Total length (>= 1000 bp)    47390        
Total length (>= 5000 bp)    39648        
Total length (>= 10000 bp)   39648        
Total length (>= 25000 bp)   39648        
Total length (>= 50000 bp)   0            
# contigs                    8            
Largest contig               39648        
Total length                 49111        
Reference length             2789967      
GC (%)                       48.77        
Reference GC (%)             60.77        
N50                          39648        
N75                          39648        
L50                          1            
L75                          1            
# misassemblies              0            
# misassembled contigs       0            
Misassembled contigs length  0            
# local misassemblies        0            
# scaffold gap ext. mis.     0            
# scaffold gap loc. mis.     0            
# unaligned mis. contigs     0            
# unaligned contigs          2 + 4 part   
Unaligned length             47687        
Genome fraction (%)          0.015        
Duplication ratio            3.382        
# N's per 100 kbp            0.00         
# mismatches per 100 kbp     2850.36      
# indels per 100 kbp         0.00         
Largest alignment            113          
Total aligned length         469          
NGA50                        -            
