Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	54971
Aurantimonas_manganoxydans_SI85_9A1	6768
Conexibacter_woesei_Iso977N	65246
Desulfitibacter_alkalitolerans_DSM_16504	8303
Desulfuromonas_acetoxidans_DSM_684	44975
Desulfuromonas_thiophila	49111
Fluviicola_taffensis_DSM_16823	23294
Gracilibacteria_bacterium_JGI_0000069_P22	724
Ilumatobacter_coccineus_YM16_304	77662
Modicisalibacter_tunisiensis	232637
Neisseria_sp._CSL_7565	4137
Nitrospina_gracilis	86342
Nitrospina_sp._SCGC_AAA288_L16	46104
Oceanicola_granulosus_HTCC2516	37911
Owenweeksia_hongkongensis_DSM_17368	35037
Paracoccus_aminophilus	9171
Porticoccus_hydrocarbonoclasticus_MCTG13d	9638
Pseudoruegeria_aquimaris	125204
Rhodopirellula_sp._SM50	7257
Roseobacter_sp._SK209_2_6	15899
Shewanella_amazonensis_SB2B	7326
Simiduia_sp._J_MY2	40921
Sinobacterium_caligoides	20149
Sphingobium_fuliginis	41692
Streptomyces_cyaneogriseus_subsp._noncyanogenus	40081
Sulfitobacter_sp._NAS_14.1	12943
Synechococcus_sp._KORDI_49	13005
Syntrophus_aciditrophicus	14359
Tenacibaculum_skagerrakense	36316
Thioalkalivibrio_sp._ALJ17	341974
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	341974
Thiohalobacter_thiocyanaticus	515083
Ulvibacter_litoralis	47952
Xanthomonas_citri_subsp._malvacearum	5289
alpha_proteobacterium_BAL199	75067
endosymbiont_of_Ridgeia_piscesae	744350
gamma_proteobacterium_SCGC_AB_629_P17	10106
marine_gamma_proteobacterium_HTCC2080	64491
marine_metagenome	5412
mine_drainage_metagenome	-
not_aligned	117825823
